I0316 18:56:59.029304       1 flags.go:52] FLAG: --address=":8085"
I0316 18:56:59.029558       1 flags.go:52] FLAG: --alsologtostderr="false"
I0316 18:56:59.029569       1 flags.go:52] FLAG: --balance-similar-node-groups="true"
I0316 18:56:59.029572       1 flags.go:52] FLAG: --cloud-config=""
I0316 18:56:59.029574       1 flags.go:52] FLAG: --cloud-provider="azure"
I0316 18:56:59.029577       1 flags.go:52] FLAG: --cloud-provider-gce-lb-src-cidrs="130.211.0.0/22,209.85.152.0/22,209.85.204.0/22,35.191.0.0/16"
I0316 18:56:59.029583       1 flags.go:52] FLAG: --cluster-name=""
I0316 18:56:59.029585       1 flags.go:52] FLAG: --cores-total="0:320000"
I0316 18:56:59.029588       1 flags.go:52] FLAG: --estimator="binpacking"
I0316 18:56:59.029591       1 flags.go:52] FLAG: --expander="random"
I0316 18:56:59.029593       1 flags.go:52] FLAG: --expendable-pods-priority-cutoff="-10"
I0316 18:56:59.029596       1 flags.go:52] FLAG: --filter-out-schedulable-pods-uses-packing="true"
I0316 18:56:59.029599       1 flags.go:52] FLAG: --gpu-total="[]"
I0316 18:56:59.029602       1 flags.go:52] FLAG: --ignore-daemonsets-utilization="false"
I0316 18:56:59.029604       1 flags.go:52] FLAG: --ignore-mirror-pods-utilization="false"
I0316 18:56:59.029607       1 flags.go:52] FLAG: --ignore-taint="[]"
I0316 18:56:59.029609       1 flags.go:52] FLAG: --kubeconfig=""
I0316 18:56:59.029612       1 flags.go:52] FLAG: --kubernetes=""
I0316 18:56:59.029614       1 flags.go:52] FLAG: --leader-elect="true"
I0316 18:56:59.029620       1 flags.go:52] FLAG: --leader-elect-lease-duration="15s"
I0316 18:56:59.029624       1 flags.go:52] FLAG: --leader-elect-renew-deadline="10s"
I0316 18:56:59.029627       1 flags.go:52] FLAG: --leader-elect-resource-lock="endpoints"
I0316 18:56:59.029630       1 flags.go:52] FLAG: --leader-elect-retry-period="2s"
I0316 18:56:59.029635       1 flags.go:52] FLAG: --log-backtrace-at=":0"
I0316 18:56:59.029640       1 flags.go:52] FLAG: --log-dir=""
I0316 18:56:59.029643       1 flags.go:52] FLAG: --log-file=""
I0316 18:56:59.029646       1 flags.go:52] FLAG: --log-file-max-size="1800"
I0316 18:56:59.029648       1 flags.go:52] FLAG: --logtostderr="true"
I0316 18:56:59.029651       1 flags.go:52] FLAG: --max-autoprovisioned-node-group-count="15"
I0316 18:56:59.029653       1 flags.go:52] FLAG: --max-bulk-soft-taint-count="10"
I0316 18:56:59.029656       1 flags.go:52] FLAG: --max-bulk-soft-taint-time="3s"
I0316 18:56:59.029658       1 flags.go:52] FLAG: --max-empty-bulk-delete="10"
I0316 18:56:59.029661       1 flags.go:52] FLAG: --max-failing-time="15m0s"
I0316 18:56:59.029663       1 flags.go:52] FLAG: --max-graceful-termination-sec="600"
I0316 18:56:59.029666       1 flags.go:52] FLAG: --max-inactivity="10m0s"
I0316 18:56:59.029668       1 flags.go:52] FLAG: --max-node-provision-time="15m0s"
I0316 18:56:59.029671       1 flags.go:52] FLAG: --max-nodes-total="0"
I0316 18:56:59.029674       1 flags.go:52] FLAG: --max-total-unready-percentage="45"
I0316 18:56:59.029677       1 flags.go:52] FLAG: --memory-total="0:6400000"
I0316 18:56:59.029680       1 flags.go:52] FLAG: --min-replica-count="0"
I0316 18:56:59.029682       1 flags.go:52] FLAG: --namespace="kube-system"
I0316 18:56:59.029685       1 flags.go:52] FLAG: --new-pod-scale-up-delay="0s"
I0316 18:56:59.029687       1 flags.go:52] FLAG: --node-autoprovisioning-enabled="false"
I0316 18:56:59.029690       1 flags.go:52] FLAG: --node-deletion-delay-timeout="2m0s"
I0316 18:56:59.029692       1 flags.go:52] FLAG: --node-group-auto-discovery="[]"
I0316 18:56:59.029695       1 flags.go:52] FLAG: --nodes="[1:15:k8s-agentpool1-19133377-vmss]"
I0316 18:56:59.029698       1 flags.go:52] FLAG: --ok-total-unready-count="3"
I0316 18:56:59.029701       1 flags.go:52] FLAG: --regional="false"
I0316 18:56:59.029703       1 flags.go:52] FLAG: --scale-down-candidates-pool-min-count="50"
I0316 18:56:59.029706       1 flags.go:52] FLAG: --scale-down-candidates-pool-ratio="0.1"
I0316 18:56:59.029709       1 flags.go:52] FLAG: --scale-down-delay-after-add="10m0s"
I0316 18:56:59.029712       1 flags.go:52] FLAG: --scale-down-delay-after-delete="1m0s"
I0316 18:56:59.029714       1 flags.go:52] FLAG: --scale-down-delay-after-failure="3m0s"
I0316 18:56:59.029717       1 flags.go:52] FLAG: --scale-down-enabled="true"
